spotify_id;nombre;es_explicito;duracion_ms;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;time_signature;album_id
60u6hcpH5Qm1M3xESdNBrB;Frente al Mar;False;165178;0.75;0.682;10;-3.825;1;0.0945;0.168;1.28e-06;0.112;0.618;100.036;4;18
1cOboCuWYI2osTOfolMRS6;Tu Boda;True;225880;0.694;0.651;6;-6.968;1;0.0784;0.496;1.36e-05;0.0787;0.471;112.648;3;19
0qeIFEGRQqHoaJtLCl0U73;DEGENERE ðŸ‘‘ (feat. benny blanco);True;130880;0.744;0.709;6;-5.778;0;0.284;0.0501;0.0;0.0847;0.712;194.055;4;20
63pLfjK6FvcYJYMGwtHjd6;SORRY 4 THAT MUCH;True;207746;0.819;0.675;7;-4.281;1;0.0727;0.0318;0.0;0.289;0.602;92.99;4;21
2CeKVsFFXG4QzA415QygGb;Feliz CumpleaÃ±os Ferxxo;False;155960;0.865;0.573;5;-5.501;1;0.0678;0.0863;0.0;0.305;0.563;94.999;4;22
0T2pB7P1VdXPhLdQZ488uH;Normal;True;171880;0.709;0.56;4;-4.867;0;0.171;0.034;0.0;0.315;0.541;170.082;4;22
1sbNEFiURUYfy024cJX8JG;Ferxxo 100;False;167760;0.705;0.562;8;-3.378;0;0.0674;0.257;0.0;0.137;0.569;163.893;4;22
57pj5sOWSCAqZm088LMcE4;Oe BebÃ©;True;186463;0.751;0.739;9;-3.649;0;0.0789;0.133;0.0;0.141;0.795;94.065;4;23
0Sr7ssScx54yxdM2ols7nW;Q U E V A S H A C E R H O Y ?;True;224022;0.56;0.681;6;-6.304;0;0.244;0.103;0.0;0.106;0.388;155.079;4;24
1pLCpA1RN8avJxSD3ZCwhj;Pa' Que La Pases Bien;False;214120;0.897;0.755;9;-5.684;0;0.144;0.00758;0.000451;0.264;0.567;110.008;4;25
7iQXYTyuG13aoeHxGG28Nh;PERRO NEGRO;True;162767;0.911;0.778;5;-2.248;1;0.262;0.0887;2.16e-05;0.179;0.345;96.057;4;26
3vpvKFigw8bNApZzuOleGe;Movimiento de Caderas;False;190000;0.72;0.578;9;-6.784;0;0.48;0.103;0.0;0.119;0.671;180.132;4;27
3u2jlo9kygiIAq7SPVuw6S;Dile a Tu Amiga;True;214120;0.794;0.576;2;-12.111;1;0.0591;0.225;0.00381;0.0854;0.914;94.993;4;28
5pVJ3IlnpIorU44oXizzG5;Orion;False;240964;0.857;0.705;1;-4.775;1;0.183;0.322;0.00249;0.197;0.874;105.011;4;29
6DUdDIRgLqCGq1DwkNWQTN;Borro Cassette;False;207306;0.73;0.701;5;-5.885;0;0.106;0.132;0.0;0.151;0.785;175.95;4;30
6a9Z1jUms915w4O7N1PxjY;Santa;False;193038;0.725;0.709;3;-5.017;0;0.129;0.321;0.000189;0.114;0.648;99.993;4;31
3OJDtCdYs8QJnui708tEU3;Soltera;False;214642;0.841;0.752;2;-4.735;1;0.105;0.167;0.00046;0.949;0.67;100.076;4;32
4bw8mcDUSRWfQo63ZTYRnU;SegÃºn QuiÃ©n;True;142334;0.909;0.762;9;-3.974;1;0.0643;0.434;0.0;0.0856;0.843;101.987;3;33
0zNMdrDEs5N0JPQ7RYQZln;QUEMA;True;150927;0.819;0.861;0;-3.322;1;0.0491;0.0286;0.000836;0.0676;0.905;97.014;4;34
2plbrEY59IikOBgBGLjaoe;Die With A Smile;False;251667;0.521;0.592;6;-7.777;0;0.0304;0.308;0.0;0.122;0.535;157.969;3;35
6rZno3nqeT7hv2PnSWRuYS;YOGURCITO;True;183535;0.753;0.61;5;-5.527;0;0.0517;0.176;0.0;0.183;0.802;141.958;4;36
505v13epFXodT9fVAJ6h8k;AMARGURA;True;170480;0.912;0.7;6;-3.331;0;0.068;0.163;0.0;0.174;0.535;106.981;4;37
1JXcB149QtbcIpDUA6YZOB;Algo Que Se Quede;False;220135;0.751;0.722;2;-4.197;1;0.0506;0.457;0.0;0.178;0.788;140.043;4;38
2llFXBrftm6YJzBj3tpk0s;DoblexxÃ³;True;176720;0.787;0.775;1;-4.607;0;0.0699;0.0373;0.0;0.116;0.826;99.008;4;39
3GhmL9fuM8jwGcHCFbeo3v;Me Prefieres A Mi;False;195657;0.726;0.604;7;-8.127;1;0.0846;0.546;2.71e-05;0.913;0.788;80.994;4;40
5vNRhkKd0yEAg8suGBpjeY;APT.;False;169917;0.777;0.783;0;-4.477;0;0.26;0.0283;0.0;0.355;0.939;149.027;4;41
1AddbBdKFz8wdqatGVSsYS;Es Un Secreto;False;192053;0.838;0.732;6;-6.266;0;0.0432;0.114;1.49e-06;0.0682;0.525;95.011;4;42
5RqSsdzTNPX1uzkmlHCFvK;QLONA;True;172797;0.841;0.738;7;-7.455;0;0.307;0.52;0.0;0.0892;0.484;169.918;4;43
54zcJnb3tp9c5OVKREZ1Is;MI EX TENÃA RAZÃ“N;False;154374;0.634;0.725;5;-4.945;0;0.0587;0.0776;0.0;0.211;0.795;159.845;4;43
6tuLAQURf4P97dD750iTaJ;CASI ALGO;True;163979;0.682;0.827;7;-4.898;1;0.0636;0.511;1.11e-05;0.416;0.471;91.027;4;44
0rNqDh9zWWJVTLS4VfceHP;Brickell;True;180360;0.805;0.89;11;-1.502;0;0.0634;0.0704;0.0;0.121;0.489;93.037;4;45
5YJ4BVvTFmVCxUyhKejHfR;Pa' Que Retozen;True;151666;0.815;0.856;1;-3.825;0;0.122;0.4;8.34e-05;0.244;0.872;91.995;4;46
50zAEIE4B1QqhPjRMK2Xmh;Running Wild;False;151646;0.487;0.711;8;-4.22;1;0.0322;0.000175;0.0;0.152;0.317;146.921;4;47
0EhmTBq33eARyOz3SIi4P2;En Otra Vida;False;153609;0.459;0.162;0;-11.634;1;0.0425;0.929;0.0;0.137;0.483;184.784;3;48
05yMrCIM3QQVLhlAlLMUVQ;SeÃ±al De Vida;True;240255;0.724;0.678;6;-6.681;0;0.0739;0.12;0.000788;0.587;0.687;171.968;4;49
5rRYtMoEDY3HrvV13jcsom;Yo Te Quiero (feat. Chris Jonex);False;195535;0.805;0.698;10;-7.078;0;0.13;0.349;4.4e-06;0.0743;0.769;112.026;4;50
2AyHptlbcCczCoyVANwPeK;HOCO en la U (Â¿que hubo?);False;246933;0.75;0.723;2;-6.284;1;0.0968;0.197;0.0031;0.109;0.403;105.022;4;51
7JwdbqIpiuWvGbRryKSuBz;Es un Secreto;False;190560;0.841;0.783;6;-4.915;0;0.0432;0.106;2.49e-06;0.0528;0.514;94.989;4;52
1sc1u87B3KcsNPf0jcYwgQ;No Te Rayes;False;179344;0.673;0.61;2;-4.933;0;0.131;0.18;0.0;0.144;0.399;169.84;4;53
3KZCP2StVGdWkOKyRZNWA4;Es un Secreto;False;192120;0.841;0.774;6;-4.963;0;0.0421;0.117;2.66e-06;0.0674;0.494;95.006;4;54
2mLTxNa0bwZX8eNBsuODLX;Una Vida Pasada;False;218500;0.768;0.679;7;-5.539;0;0.0411;0.656;3.66e-05;0.143;0.948;89.975;4;55
7chTH3GBjjAyagf0SPCZDL;SI SABE FERXXO;True;152500;0.726;0.831;8;-2.035;0;0.12;0.0139;3.71e-06;0.0891;0.489;95.997;4;56
4jdwQISB7rhP1EO4JiwnJF;Gata Oficial;False;234733;0.772;0.665;11;-7.441;1;0.19;0.134;0.000513;0.205;0.579;82.978;4;57
0zDO5avDZSXRwWzfuguIRb;LlorarÃ¡s;False;228554;0.704;0.884;8;-6.275;1;0.0527;0.549;0.000364;0.0492;0.964;93.058;4;58
2naqSVQHgiaoEpxtkVOhmK;LlorarÃ¡s;False;228554;0.704;0.884;8;-6.275;1;0.0527;0.549;0.000364;0.0492;0.964;93.058;4;59
0BoLTC9I3PYefcWd7FOhUh;Chismofilia;False;178608;0.827;0.871;0;-6.072;1;0.123;0.0297;1.46e-06;0.336;0.562;125.013;4;60
2NFWEVIzLcWARyI8BzgA23;Contentoso;False;169887;0.801;0.741;9;-5.572;1;0.0953;0.162;0.0;0.0584;0.652;93.98;4;60
5enCBu8FLjlLz60k9t15MA;Coqueta;False;235020;0.727;0.657;2;-7.606;1;0.0561;0.115;0.0;0.098;0.868;180.055;3;61
6eDU6kAtlOLVEkVu4st1Bt;No Me Cansare;False;162857;0.667;0.744;1;-4.634;0;0.0977;0.0667;0.0;0.211;0.562;167.911;4;62
0O3U5iwTbiXCREMkvotJuN;EL AMOR DE SU VIDA;False;165848;0.616;0.834;9;-3.069;1;0.0664;0.06;0.0;0.338;0.746;151.701;4;63
5HR7yfhSCeoOHRQN05XnZQ;QUE VUELVAS;False;169418;0.497;0.644;10;-4.309;1;0.0443;0.188;0.0;0.114;0.779;162.542;4;63
2yzshFeBIwH8tWIqHEFLeD;un x100to;False;194563;0.571;0.72;9;-4.089;1;0.0458;0.213;0.0;0.271;0.542;83.827;4;63
7tI8dRuH2Yc6RuoTjxo4dU;Who;False;170887;0.66;0.756;0;-3.743;0;0.032;0.00289;0.0;0.193;0.838;116.034;4;64
2FFr0vdtqPBTK3RW0c7T5C;Cupido;False;215000;0.914;0.601;11;-5.255;1;0.163;0.0888;4.62e-06;0.264;0.648;96.041;4;65
6kPCcIAGoTeRrh8qrmKa90;Piel;True;142041;0.646;0.907;0;-1.617;1;0.0593;0.422;0.0;0.14;0.816;168.004;4;66
0c82YIGpQ5dCaXpTNCk4sb;AlegrÃ­a;False;165054;0.575;0.658;9;-2.34;0;0.101;0.0463;2.24e-05;0.0627;0.884;84.273;5;66
3fJHbMUnzceimOnNjp63fF;Primera Cita;False;186455;0.536;0.396;10;-7.804;1;0.0687;0.604;6.97e-05;0.0969;0.491;157.846;3;67
